# start rate=20 seed=1 dur=420 n=7 target=3 events=76
3.1 fp=[5] true=[3] merged=[3, 5]
3.4 fp=[5] true=[3] merged=[3, 5]
3.8 fp=[5] true=[3] merged=[3, 5]
4.1 fp=[5] true=[3] merged=[3, 5]
4.4 fp=[5] true=[3] merged=[3, 5]
4.7 fp=[5] true=[3] merged=[3, 5]
5.0 fp=[5] true=[3] merged=[3, 5]
5.3 fp=[5] true=[3] merged=[3, 5]
5.6 fp=[5] true=[3] merged=[3, 5]
5.9 fp=[5] true=[3] merged=[3, 5]
6.2 fp=[5] true=[3] merged=[3, 5]
6.6 fp=[5] true=[3] merged=[3, 5]
6.9 fp=[5] true=[3] merged=[3, 5]
7.2 fp=[5] true=[3] merged=[3, 5]
7.5 fp=[5] true=[3] merged=[3, 5]
7.8 fp=[5] true=[3] merged=[3, 5]
8.1 fp=[5] true=[3] merged=[3, 5]
8.4 fp=[5] true=[3] merged=[3, 5]
8.7 fp=[5] true=[3] merged=[3, 5]
9.1 fp=[5] true=[3] merged=[3, 5]
9.4 fp=[5] true=[3] merged=[3, 5]
9.7 fp=[5] true=[3] merged=[3, 5]
10.0 fp=[5] true=[3] merged=[3, 5]
10.3 fp=[5] true=[3] merged=[3, 5]
10.6 fp=[5] true=[3] merged=[3, 5]
10.9 fp=[5] true=[3] merged=[3, 5]
11.2 fp=[2] true=[3] merged=[2, 3]
11.6 fp=[2] true=[3] merged=[2, 3]
11.9 fp=[2] true=[3] merged=[2, 3]
12.2 fp=[2] true=[3] merged=[2, 3]
12.5 fp=[2] true=[3] merged=[2, 3]
12.8 fp=[2] true=[3] merged=[2, 3]
13.1 fp=[2] true=[3] merged=[2, 3]
13.4 fp=[2] true=[3] merged=[2, 3]
13.8 fp=[2] true=[3] merged=[2, 3]
14.1 fp=[2] true=[3] merged=[2, 3]
14.4 fp=[2] true=[3] merged=[2, 3]
14.7 fp=[2] true=[3] merged=[2, 3]
15.0 fp=[2] true=[3] merged=[2, 3]
15.3 fp=[2] true=[3] merged=[2, 3]
15.6 fp=[2] true=[3] merged=[2, 3]
16.0 fp=[2] true=[3] merged=[2, 3]
16.3 fp=[2] true=[3] merged=[2, 3]
16.6 fp=[2] true=[3] merged=[2, 3]
16.9 fp=[2] true=[3] merged=[2, 3]
17.2 fp=[2] true=[3] merged=[2, 3]
17.6 fp=[2] true=[3] merged=[2, 3]
17.9 fp=[2] true=[3] merged=[2, 3]
18.2 fp=[2] true=[3] merged=[2, 3]
18.5 fp=[2] true=[3] merged=[2, 3]
18.8 fp=[2] true=[3] merged=[2, 3]
19.1 fp=[2] true=[3] merged=[2, 3]
19.4 fp=[2] true=[3] merged=[2, 3]
19.7 fp=[2] true=[3] merged=[2, 3]
20.0 fp=[2] true=[3] merged=[2, 3]
20.3 fp=[2] true=[3] merged=[2, 3]
20.7 fp=[2] true=[3] merged=[2, 3]
21.0 fp=[2] true=[3] merged=[2, 3]
21.3 fp=[2] true=[3] merged=[2, 3]
21.6 fp=[2] true=[3] merged=[2, 3]
21.9 fp=[2] true=[3] merged=[2, 3]
22.2 fp=[2] true=[3] merged=[2, 3]
22.5 fp=[2] true=[3] merged=[2, 3]
22.8 fp=[2] true=[3] merged=[2, 3]
23.1 fp=[2] true=[3] merged=[2, 3]
23.4 fp=[2] true=[3] merged=[2, 3]
23.8 fp=[2] true=[3] merged=[2, 3]
24.1 fp=[2] true=[3] merged=[2, 3]
24.4 fp=[2] true=[3] merged=[2, 3]
24.7 fp=[2] true=[3] merged=[2, 3]
25.1 fp=[2] true=[3] merged=[2, 3]
25.4 fp=[2] true=[3] merged=[2, 3]
25.7 fp=[2] true=[3] merged=[2, 3]
26.0 fp=[2] true=[3] merged=[2, 3]
26.3 fp=[2] true=[3] merged=[2, 3]
26.6 fp=[2] true=[3] merged=[2, 3]
26.9 fp=[2] true=[3] merged=[2, 3]
27.3 fp=[2] true=[3] merged=[2, 3]
27.6 fp=[2] true=[3] merged=[2, 3]
27.9 fp=[2] true=[3] merged=[2, 3]
28.2 fp=[2] true=[3] merged=[2, 3]
28.6 fp=[2] true=[3] merged=[2, 3]
28.9 fp=[2] true=[3] merged=[2, 3]
29.2 fp=[2] true=[3] merged=[2, 3]
29.5 fp=[2] true=[3] merged=[2, 3]
29.8 fp=[2] true=[3] merged=[2, 3]
30.1 fp=[1] true=[3] merged=[1, 3]
30.4 fp=[1] true=[3] merged=[1, 3]
30.7 fp=[1] true=[3] merged=[1, 3]
31.0 fp=[1] true=[3] merged=[1, 3]
31.4 fp=[1] true=[3] merged=[1, 3]
31.7 fp=[1] true=[3] merged=[1, 3]
32.0 fp=[1] true=[3] merged=[1, 3]
32.3 fp=[1] true=[3] merged=[1, 3]
32.6 fp=[1] true=[3] merged=[1, 3]
32.9 fp=[1] true=[3] merged=[1, 3]
33.2 fp=[1] true=[3] merged=[1, 3]
33.6 fp=[1] true=[3] merged=[1, 3]
33.9 fp=[1] true=[3] merged=[1, 3]
34.2 fp=[1] true=[3] merged=[1, 3]
34.5 fp=[1] true=[3] merged=[1, 3]
34.8 fp=[1] true=[3] merged=[1, 3]
35.1 fp=[1] true=[3] merged=[1, 3]
35.4 fp=[1] true=[3] merged=[1, 3]
35.8 fp=[1] true=[3] merged=[1, 3]
36.1 fp=[1] true=[3] merged=[1, 3]
36.4 fp=[1] true=[3] merged=[1, 3]
36.7 fp=[1] true=[3] merged=[1, 3]
37.0 fp=[1] true=[3] merged=[1, 3]
37.3 fp=[1] true=[3] merged=[1, 3]
37.6 fp=[1] true=[3] merged=[1, 3]
38.0 fp=[1] true=[3] merged=[1, 3]
38.3 fp=[1] true=[3] merged=[1, 3]
38.6 fp=[1] true=[3] merged=[1, 3]
38.9 fp=[1] true=[3] merged=[1, 3]
39.2 fp=[1] true=[3] merged=[1, 3]
39.5 fp=[1] true=[3] merged=[1, 3]
39.9 fp=[1] true=[3] merged=[1, 3]
40.2 fp=[1] true=[3] merged=[1, 3]
40.5 fp=[1] true=[3] merged=[1, 3]
40.8 fp=[1] true=[3] merged=[1, 3]
41.1 fp=[1] true=[3] merged=[1, 3]
41.5 fp=[1] true=[3] merged=[1, 3]
41.8 fp=[1] true=[3] merged=[1, 3]
42.1 fp=[1] true=[3] merged=[1, 3]
42.4 fp=[1] true=[3] merged=[1, 3]
42.8 fp=[1] true=[3] merged=[1, 3]
43.1 fp=[1] true=[3] merged=[1, 3]
43.4 fp=[1] true=[3] merged=[1, 3]
43.7 fp=[1] true=[3] merged=[1, 3]
44.0 fp=[1] true=[3] merged=[1, 3]
44.3 fp=[1] true=[3] merged=[1, 3]
44.6 fp=[1] true=[3] merged=[1, 3]
45.0 fp=[1] true=[3] merged=[1, 3]
45.3 fp=[1] true=[3] merged=[1, 3]
45.6 fp=[1] true=[3] merged=[1, 3]
45.9 fp=[1] true=[3] merged=[1, 3]
46.2 fp=[1] true=[3] merged=[1, 3]
46.5 fp=[1] true=[3] merged=[1, 3]
46.8 fp=[1] true=[3] merged=[1, 3]
47.2 fp=[1] true=[3] merged=[1, 3]
47.5 fp=[1] true=[3] merged=[1, 3]
47.8 fp=[1] true=[3] merged=[1, 3]
48.1 fp=[1] true=[3] merged=[1, 3]
48.4 fp=[1] true=[3] merged=[1, 3]
48.8 fp=[1] true=[3] merged=[1, 3]
49.1 fp=[1] true=[3] merged=[1, 3]
49.4 fp=[1] true=[3] merged=[1, 3]
49.7 fp=[1] true=[3] merged=[1, 3]
50.0 fp=[1] true=[3] merged=[1, 3]
50.3 fp=[4] true=[3] merged=[3, 4]
50.6 fp=[4] true=[3] merged=[3, 4]
50.9 fp=[4] true=[3] merged=[3, 4]
51.2 fp=[4] true=[3] merged=[3, 4]
51.6 fp=[4] true=[3] merged=[3, 4]
51.9 fp=[4] true=[3] merged=[3, 4]
52.2 fp=[4] true=[3] merged=[3, 4]
52.5 fp=[4] true=[3] merged=[3, 4]
52.8 fp=[4] true=[3] merged=[3, 4]
53.1 fp=[4] true=[3] merged=[3, 4]
53.4 fp=[4] true=[3] merged=[3, 4]
53.7 fp=[4] true=[3] merged=[3, 4]
54.1 fp=[4] true=[3] merged=[3, 4]
54.4 fp=[4] true=[3] merged=[3, 4]
54.7 fp=[4] true=[3] merged=[3, 4]
55.0 fp=[4] true=[3] merged=[3, 4]
55.3 fp=[4] true=[3] merged=[3, 4]
55.6 fp=[4] true=[3] merged=[3, 4]
55.9 fp=[4] true=[3] merged=[3, 4]
56.3 fp=[4] true=[3] merged=[3, 4]
56.6 fp=[4] true=[3] merged=[3, 4]
56.9 fp=[4] true=[3] merged=[3, 4]
57.2 fp=[4] true=[3] merged=[3, 4]
57.5 fp=[4] true=[3] merged=[3, 4]
57.8 fp=[4] true=[3] merged=[3, 4]
58.1 fp=[4] true=[3] merged=[3, 4]
58.4 fp=[4] true=[3] merged=[3, 4]
58.7 fp=[4] true=[3] merged=[3, 4]
59.1 fp=[4] true=[3] merged=[3, 4]
59.4 fp=[4] true=[3] merged=[3, 4]
59.7 fp=[4] true=[3] merged=[3, 4]
60.0 fp=[4] true=[3] merged=[3, 4]
60.3 fp=[4] true=[3] merged=[3, 4]
60.6 fp=[4] true=[3] merged=[3, 4]
60.9 fp=[4] true=[3] merged=[3, 4]
61.2 fp=[4] true=[3] merged=[3, 4]
61.5 fp=[4] true=[3] merged=[3, 4]
61.9 fp=[4] true=[3] merged=[3, 4]
62.2 fp=[4] true=[3] merged=[3, 4]
62.5 fp=[4] true=[3] merged=[3, 4]
62.8 fp=[4] true=[3] merged=[3, 4]
63.1 fp=[4] true=[3] merged=[3, 4]
63.4 fp=[4] true=[3] merged=[3, 4]
63.7 fp=[4] true=[3] merged=[3, 4]
64.0 fp=[4] true=[3] merged=[3, 4]
64.3 fp=[4] true=[3] merged=[3, 4]
64.7 fp=[4] true=[3] merged=[3, 4]
65.0 fp=[4] true=[3] merged=[3, 4]
65.3 fp=[4] true=[3] merged=[3, 4]
65.6 fp=[4] true=[3] merged=[3, 4]
65.9 fp=[4] true=[3] merged=[3, 4]
66.2 fp=[4] true=[3] merged=[3, 4]
66.6 fp=[4] true=[3] merged=[3, 4]
66.9 fp=[4] true=[3] merged=[3, 4]
67.2 fp=[4] true=[3] merged=[3, 4]
67.5 fp=[4] true=[3] merged=[3, 4]
67.8 fp=[4] true=[3] merged=[3, 4]
68.1 fp=[4] true=[3] merged=[3, 4]
68.4 fp=[4] true=[3] merged=[3, 4]
68.7 fp=[4] true=[3] merged=[3, 4]
69.0 fp=[4] true=[3] merged=[3, 4]
69.4 fp=[4] true=[3] merged=[3, 4]
69.7 fp=[4] true=[3] merged=[3, 4]
70.0 fp=[4] true=[3] merged=[3, 4]
70.3 fp=[4] true=[3] merged=[3, 4]
70.6 fp=[4] true=[3] merged=[3, 4]
70.9 fp=[4] true=[3] merged=[3, 4]
71.2 fp=[4] true=[3] merged=[3, 4]
71.5 fp=[4] true=[3] merged=[3, 4]
71.9 fp=[4] true=[3] merged=[3, 4]
72.2 fp=[4] true=[3] merged=[3, 4]
72.5 fp=[4] true=[3] merged=[3, 4]
72.8 fp=[4] true=[3] merged=[3, 4]
73.1 fp=[4] true=[3] merged=[3, 4]
73.4 fp=[4] true=[3] merged=[3, 4]
73.7 fp=[4] true=[3] merged=[3, 4]
74.0 fp=[4] true=[3] merged=[3, 4]
74.3 fp=[4] true=[3] merged=[3, 4]
74.6 fp=[4] true=[3] merged=[3, 4]
75.0 fp=[4] true=[3] merged=[3, 4]
75.3 fp=[4] true=[3] merged=[3, 4]
75.6 fp=[4] true=[3] merged=[3, 4]
75.9 fp=[4] true=[3] merged=[3, 4]
76.2 fp=[4] true=[3] merged=[3, 4]
76.6 fp=[4] true=[3] merged=[3, 4]
76.9 fp=[4] true=[3] merged=[3, 4]
77.2 fp=[4] true=[3] merged=[3, 4]
77.5 fp=[4] true=[3] merged=[3, 4]
