phase,arm,rate,seed,dur,elections,elec_with_fp,leader_changes,demotions,demote_TP,demote_FP,leaderless_s,target_tenure_s,liveness_fail,mean_ttl_s,advice_seen,repaired,safety_viol
P1,C,0,1,300,10,0,46,0,0,0,20,0,0,3.8,0,0,0
P1,D,0,1,300,10,0,42,0,0,0,22,0,0,3.8,0,0,0
P1,A,0,1,300,10,0,39,0,0,0,22,0,0,3.6,0,0,0
P1,D,0,2,300,10,0,45,0,0,0,20,0,0,4.0,0,0,0
P1,A,0,2,300,10,0,38,0,0,0,22,0,0,3.8,0,0,0
P1,C,0,2,300,10,0,48,0,0,0,22,0,0,3.8,0,0,0
P1,A,0,3,300,10,0,35,0,0,0,20,0,0,3.8,0,0,0
P1,C,0,3,300,10,0,46,0,0,0,22,0,0,3.8,0,0,0
P1,D,0,3,300,10,0,50,0,0,0,28,0,0,4.2,0,0,0
P1,C,5,1,300,10,8,41,0,0,0,22,0,0,3.8,8,0,0
P1,D,5,1,300,10,2,102,17,0,17,46,0,0,3.7,2,0,0
P1,A,5,1,300,10,8,38,0,0,0,24,0,0,4.2,0,0,0
P1,D,5,2,300,10,1,81,11,0,11,38,0,0,3.5,1,0,0
P1,A,5,2,300,10,1,35,0,0,0,20,0,0,3.6,0,0,0
P1,C,5,2,300,10,2,47,0,0,0,22,0,0,3.8,1,0,0
P1,A,5,3,300,10,6,34,0,0,0,22,52,0,3.8,0,0,0
P1,C,5,3,300,10,7,48,0,0,0,22,0,0,4.0,7,0,0
P1,D,5,3,300,10,5,97,13,0,13,48,0,0,3.8,5,0,0
P1,C,10,1,300,10,5,47,0,0,0,20,0,0,4.0,5,0,0
P1,D,10,1,300,10,3,105,19,0,19,48,0,0,3.3,1,0,0
P1,A,10,1,300,10,7,32,0,0,0,20,56,0,3.8,0,0,0
P1,D,10,2,300,10,3,115,20,0,20,56,0,0,4.0,3,0,0
P1,A,10,2,300,10,6,35,0,0,0,20,26,0,3.8,0,0,0
P1,C,10,2,300,10,10,45,0,0,0,20,0,0,3.8,10,0,0
P1,A,10,3,300,10,7,38,0,0,0,24,108,0,4.2,0,0,0
P1,C,10,3,300,10,9,47,0,0,0,20,28,0,3.8,9,0,0
P1,D,10,3,300,10,4,117,19,0,19,52,0,0,3.7,4,0,0
P1,C,20,1,300,10,10,48,0,0,0,22,0,0,4.0,10,0,0
P1,D,20,1,300,10,4,119,19,0,19,52,0,0,3.7,3,0,0
P1,A,20,1,300,10,10,40,0,0,0,20,0,0,3.8,0,0,0
P1,D,20,2,300,10,3,122,21,0,21,58,0,0,4.4,3,0,0
P1,A,20,2,300,10,9,39,0,0,0,20,28,0,3.8,0,0,0
P1,C,20,2,300,10,10,43,0,0,0,20,0,0,4.0,10,0,0
P1,A,20,3,300,10,10,36,0,0,0,20,28,0,4.0,0,0,0
P1,C,20,3,300,10,10,51,0,0,0,24,0,0,4.2,10,0,0
P1,D,20,3,300,10,2,116,20,0,20,64,0,0,4.0,2,0,0
P2,C,0,1,180,0,0,0,0,0,0,0,138,0,-,0,0,0
P2,D,0,1,180,0,0,4,1,1,0,2,6,0,-,0,0,0
P2,C,0,2,180,0,0,0,0,0,0,0,138,0,-,0,0,0
P2,D,0,2,180,0,0,4,1,1,0,2,6,0,-,0,0,0
P2,C,0,3,180,0,0,0,0,0,0,0,136,0,-,0,0,0
P2,D,0,3,180,0,0,3,1,1,0,2,6,0,-,0,0,0
