16,1,1780841724162,1780841724510,348,OK
16,2,1780841724540,1780841724745,205,OK
16,3,1780841724751,1780841724993,242,OK
16,4,1780841725000,1780841725218,218,OK
16,5,1780841725227,1780841725423,196,OK
16,6,1780841725433,1780841725683,250,OK
16,7,1780841725690,1780841725934,244,OK
16,8,1780841725941,1780841726213,272,OK
16,9,1780841726244,1780841726477,233,OK
16,10,1780841726492,1780841726726,234,OK
16,11,1780841726756,1780841726960,204,OK
16,12,1780841726991,1780841727231,240,OK
16,13,1780841727258,1780841727471,213,OK
16,14,1780841727490,1780841727747,257,OK
16,15,1780841727790,1780841727988,198,OK
