concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6203,15,0,2.42,403.0,399,469,469,469
2,4510,15,15,3.33,292.0,290,319,319,319
4,4705,30,30,6.38,299.5,299,329,338,338
8,5223,60,60,11.49,328.1,323,378,387,387
16,4860,120,120,24.69,273.6,248,460,492,521
