| r1_p0_healthy_white | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.49            | 148.4            |
| r1_p1_pgd_rho_0_0 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.49            | 148.4            |
| r1_p2_pgd_rho_0_3 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.48            | 148.4            |
| r1_p3_pgd_rho_0_6 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.48            | 148.4            |
| r1_p4_pgd_rho_0_8 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.47            | 148.4            |
| r1_p5_attack_class_ar1 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.47            | 148.4            |
| r2_p0_pgd_rho_0_0 | 27008 | 0    | 150.0           | 2.05            | 0.04            | 0.49            | 148.4            |
| r2_p1_pgd_rho_0_3 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.48            | 148.4            |
| r2_p2_pgd_rho_0_6 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.48            | 148.4            |
| r2_p3_pgd_rho_0_8 | 27008 | 0    | 150.0           | 2.05            | 0.04            | 0.48            | 148.4            |
| r2_p4_attack_class_ar1 | 27008 | 0    | 150.0           | 2.05            | 0.03            | 0.48            | 148.4            |
| r2_p5_healthy_white | 27008 | 0    | 150.0           | 2.05            | 0.04            | 0.49            | 148.4            |
| r3_p0_pgd_rho_0_3 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.49            | 148.4            |
| r3_p1_pgd_rho_0_6 | 27008 | 0    | 150.0           | 2.34            | 0.03            | 0.48            | 148.4            |
| r3_p2_pgd_rho_0_8 | 27008 | 0    | 150.0           | 2.05            | 0.04            | 0.48            | 148.4            |
| r3_p3_attack_class_ar1 | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.48            | 148.4            |
| r3_p4_healthy_white | 27008 | 0    | 150.0           | 2.04            | 0.04            | 0.49            | 148.4            |
| r3_p5_pgd_rho_0_0 | 27008 | 0    | 150.0           | 2.05            | 0.04            | 0.49            | 148.4            |
