concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6285,15,0,2.39,408.3,405,455,455,455
2,4672,15,15,3.21,301.5,302,331,331,331
4,4089,30,30,7.34,253.5,294,322,324,324
8,4957,60,60,12.10,302.2,325,352,365,365
16,5225,120,120,22.97,310.0,263,438,446,463
