idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,4,7,4,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
2,7,3,7,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
3,3,4,-,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
4,4,3,4,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
5,3,7,-,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
6,7,3,7,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
7,3,2,-,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
8,2,6,2,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
9,6,4,2,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
10,4,3,2,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
