idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,3,2,-,0,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
2,2,5,2,0,1,4,1,n1:{"blacklist":[2;3];"seq":1;"fail_open":false}
3,5,6,5,0,1,4,1,n1:{"blacklist":[3;5];"seq":1;"fail_open":false}
4,6,5,6,0,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
5,5,4,5,0,1,4,1,n1:{"blacklist":[3;5];"seq":1;"fail_open":false}
6,4,5,4,0,1,2,1,n1:{"blacklist":[3;4];"seq":1;"fail_open":false}
7,5,6,5,0,1,2,1,n1:{"blacklist":[3;5];"seq":1;"fail_open":false}
8,6,7,6,0,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
9,7,4,6,0,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
10,4,2,6,0,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
