idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,5,4,5,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
2,4,5,4,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
3,5,3,5,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
4,3,6,-,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
5,6,2,6,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
6,2,3,2,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
7,3,1,-,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
8,1,5,1,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
9,5,2,1,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
10,2,7,1,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
