concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6070,15,0,2.47,393.9,407,494,494,494
2,4775,30,0,6.28,308.4,300,363,377,377
4,3760,60,0,15.96,234.6,216,350,353,353
8,5159,120,0,23.26,325.6,325,365,370,377
16,5659,240,0,42.41,341.6,372,452,473,496
