rho,seed,static_regret
0.0,0,0.0022118082270026207
0.0,1,0.002298444276675582
0.0,2,0.0019529700512066483
0.0,3,0.001696560881100595
0.0,4,0.0028201916720718145
0.0,5,0.002140598138794303
0.0,6,0.0020889551378786564
0.0,7,0.002068502362817526
0.0,8,0.0018996612634509802
0.0,9,0.001987556228414178
0.0,10,0.002493068343028426
0.0,11,0.002589931944385171
0.0,12,0.0019538593478500843
0.0,13,0.0021286793053150177
0.0,14,0.002034338191151619
0.0,15,0.0020593004301190376
0.0,16,0.002574705984443426
0.0,17,0.0023638929706066847
0.0,18,0.002286898670718074
0.0,19,0.0018616581801325083
0.0,20,0.0018323800759389997
0.0,21,0.0025371485389769077
0.0,22,0.002384764142334461
0.0,23,0.0019078999757766724
0.0,24,0.0016136047197505832
0.0,25,0.0015901012811809778
0.0,26,0.002219768473878503
0.0,27,0.002316394355148077
0.0,28,0.0019148431019857526
0.0,29,0.002228355035185814
0.05,0,0.0017962106503546238
0.05,1,0.002535696141421795
0.05,2,0.0025466252118349075
0.05,3,0.00202481122687459
0.05,4,0.0021087336353957653
0.05,5,0.001778756151907146
0.05,6,0.0017758940812200308
0.05,7,0.002003476256504655
0.05,8,0.0022718918044120073
0.05,9,0.0016569551080465317
0.05,10,0.0019390929955989122
0.05,11,0.002580132568255067
0.05,12,0.0020111717749387026
0.05,13,0.0022614854387938976
0.05,14,0.0019390610978007317
0.05,15,0.0023193368688225746
0.05,16,0.002328976523131132
0.05,17,0.0023999104741960764
0.05,18,0.002532143844291568
0.05,19,0.0015659561613574624
0.05,20,0.0016910984413698316
0.05,21,0.0026569790206849575
0.05,22,0.0021393729839473963
0.05,23,0.002179109724238515
0.05,24,0.0021859307307749987
0.05,25,0.002352624200284481
0.05,26,0.002007134025916457
0.05,27,0.0027495380491018295
0.05,28,0.0022373751271516085
0.05,29,0.0022311352659016848
0.1,0,0.0019182631513103843
0.1,1,0.0023365493398159742
0.1,2,0.00203704833984375
0.1,3,0.0022017615847289562
0.1,4,0.0017695468850433826
0.1,5,0.001770353876054287
0.1,6,0.0017550940392538905
0.1,7,0.0029301706235855818
0.1,8,0.002189105609431863
0.1,9,0.002094267401844263
0.1,10,0.0024768889416009188
0.1,11,0.002647084416821599
0.1,12,0.0019456992158666253
0.1,13,0.0023989060427993536
0.1,14,0.0020909118466079235
0.1,15,0.0019637199584394693
0.1,16,0.002717274473980069
0.1,17,0.0024073191452771425
0.1,18,0.0020462230313569307
0.1,19,0.0017491723410785198
0.1,20,0.0016374982660636306
0.1,21,0.002101089106872678
0.1,22,0.0021189164835959673
0.1,23,0.001951871789060533
0.1,24,0.0022725649178028107
0.1,25,0.002307010116055608
0.1,26,0.0026008510030806065
0.1,27,0.002263509202748537
0.1,28,0.0020772386342287064
0.1,29,0.002488926984369755
0.2,0,0.0024601237382739782
0.2,1,0.002188835060223937
0.2,2,0.002538678701967001
0.2,3,0.0021200943738222122
0.2,4,0.00173414486926049
0.2,5,0.0022907182574272156
0.2,6,0.0018548788502812386
0.2,7,0.0020160304848104715
0.2,8,0.001795854070223868
0.2,9,0.0016484721563756466
0.2,10,0.0021448845509439707
0.2,11,0.0026346517261117697
0.2,12,0.002084314124658704
0.2,13,0.0027472313959151506
0.2,14,0.001978167798370123
0.2,15,0.00182972545735538
0.2,16,0.002650525188073516
0.2,17,0.0017716926522552967
0.2,18,0.002175623783841729
0.2,19,0.0016968311974778771
0.2,20,0.0016548900166526437
0.2,21,0.0017639303114265203
0.2,22,0.0021626462694257498
0.2,23,0.0021249542478471994
0.2,24,0.001745763118378818
0.2,25,0.001700437511317432
0.2,26,0.0017212252132594585
0.2,27,0.0020192177034914494
0.2,28,0.0022893957793712616
0.2,29,0.002416878705844283
