attack,detector,seed,auc,auc_op
burst-delay,static-univariate,3,1.0,1.0
burst-delay,memory-enabled,3,0.8124684444444443,0.8124684444444443
burst-delay,linear,4,0.7612399999999999,0.7612399999999999
burst-delay,static-univariate,4,1.0,1.0
burst-delay,memory-enabled,4,0.8039386666666668,0.8039386666666668
burst-delay,linear,5,0.7485115555555555,0.7485115555555555
burst-delay,static-univariate,5,1.0,1.0
burst-delay,memory-enabled,5,0.7981168888888888,0.7981168888888888
burst-delay,linear,6,0.739211111111111,0.739211111111111
burst-delay,static-univariate,6,1.0,1.0
burst-delay,memory-enabled,6,0.8086457777777778,0.8086457777777778
burst-delay,linear,7,0.7809248888888889,0.7809248888888889
burst-delay,static-univariate,7,1.0,1.0
burst-delay,memory-enabled,7,0.7970666666666666,0.7970666666666666
burst-delay,linear,8,0.771796,0.771796
burst-delay,static-univariate,8,1.0,1.0
burst-delay,memory-enabled,8,0.8055311111111111,0.8055311111111111
burst-delay,linear,9,0.7629502222222223,0.7629502222222223
burst-delay,static-univariate,9,1.0,1.0
burst-delay,memory-enabled,9,0.8005537777777778,0.8005537777777778
burst-delay,linear,10,0.7730728888888889,0.7730728888888889
burst-delay,static-univariate,10,1.0,1.0
burst-delay,memory-enabled,10,0.8032715555555555,0.8032715555555555
burst-delay,linear,11,0.7514764444444444,0.7514764444444444
burst-delay,static-univariate,11,1.0,1.0
burst-delay,memory-enabled,11,0.7995439999999999,0.7995439999999999
burst-delay,linear,12,0.7500497777777778,0.7500497777777778
burst-delay,static-univariate,12,1.0,1.0
burst-delay,memory-enabled,12,0.8078048888888888,0.8078048888888888
burst-delay,linear,13,0.7699159999999999,0.7699159999999999
burst-delay,static-univariate,13,1.0,1.0
burst-delay,memory-enabled,13,0.8028448888888889,0.8028448888888889
burst-delay,linear,14,0.7649631111111111,0.7649631111111111
burst-delay,static-univariate,14,1.0,1.0
burst-delay,memory-enabled,14,0.7896791111111111,0.7896791111111111
burst-delay,linear,15,0.7556555555555555,0.7556555555555555
burst-delay,static-univariate,15,1.0,1.0
burst-delay,memory-enabled,15,0.8010355555555556,0.8010355555555556
burst-delay,linear,16,0.7689333333333334,0.7689333333333334
burst-delay,static-univariate,16,1.0,1.0
burst-delay,memory-enabled,16,0.7938017777777777,0.7938017777777777
burst-delay,linear,17,0.7633146666666667,0.7633146666666667
burst-delay,static-univariate,17,1.0,1.0
burst-delay,memory-enabled,17,0.81856,0.81856
burst-delay,linear,18,0.7713613333333333,0.7713613333333333
burst-delay,static-univariate,18,1.0,1.0
burst-delay,memory-enabled,18,0.8188208888888888,0.8188208888888888
burst-delay,linear,19,0.7768280000000001,0.7768280000000001
burst-delay,static-univariate,19,1.0,1.0
burst-delay,memory-enabled,19,0.8117653333333334,0.8117653333333334
burst-delay,linear,20,0.766720888888889,0.766720888888889
burst-delay,static-univariate,20,1.0,1.0
burst-delay,memory-enabled,20,0.8115791111111111,0.8115791111111111
burst-delay,linear,21,0.7679968888888888,0.7679968888888888
burst-delay,static-univariate,21,1.0,1.0
burst-delay,memory-enabled,21,0.801276,0.801276
burst-delay,linear,22,0.7808195555555555,0.7808195555555555
burst-delay,static-univariate,22,1.0,1.0
burst-delay,memory-enabled,22,0.8034613333333334,0.8034613333333334
burst-delay,linear,23,0.7658675555555556,0.7658675555555556
burst-delay,static-univariate,23,1.0,1.0
burst-delay,memory-enabled,23,0.8021773333333333,0.8021773333333333
burst-delay,linear,24,0.745368888888889,0.745368888888889
burst-delay,static-univariate,24,1.0,1.0
burst-delay,memory-enabled,24,0.7998626666666667,0.7998626666666667
burst-delay,linear,25,0.7691311111111111,0.7691311111111111
burst-delay,static-univariate,25,1.0,1.0
burst-delay,memory-enabled,25,0.8114888888888889,0.8114888888888889
burst-delay,linear,26,0.7658511111111111,0.7658511111111111
burst-delay,static-univariate,26,1.0,1.0
burst-delay,memory-enabled,26,0.8045355555555556,0.8045355555555556
burst-delay,linear,27,0.7553377777777779,0.7553377777777779
burst-delay,static-univariate,27,1.0,1.0
burst-delay,memory-enabled,27,0.800051111111111,0.800051111111111
burst-delay,linear,28,0.7645791111111111,0.7645791111111111
burst-delay,static-univariate,28,1.0,1.0
burst-delay,memory-enabled,28,0.8073760000000001,0.8073760000000001
burst-delay,linear,29,0.7645786666666667,0.7645786666666667
burst-delay,static-univariate,29,1.0,1.0
burst-delay,memory-enabled,29,0.8132168888888888,0.8132168888888888
selective-lag,linear,0,0.980868,0.980868
selective-lag,static-univariate,0,0.4953013333333333,0.5046986666666666
selective-lag,memory-enabled,0,0.5154208888888889,0.5154208888888889
selective-lag,linear,1,0.9758271111111112,0.9758271111111112
selective-lag,static-univariate,1,0.5033724444444444,0.5033724444444444
selective-lag,memory-enabled,1,0.523828,0.523828
selective-lag,linear,2,0.9776084444444444,0.9776084444444444
selective-lag,static-univariate,2,0.5070453333333333,0.5070453333333333
selective-lag,memory-enabled,2,0.5226408888888889,0.5226408888888889
selective-lag,linear,3,0.9803075555555555,0.9803075555555555
selective-lag,static-univariate,3,0.489964,0.5100359999999999
selective-lag,memory-enabled,3,0.5321995555555556,0.5321995555555556
selective-lag,linear,4,0.9770968888888889,0.9770968888888889
selective-lag,static-univariate,4,0.49845422222222224,0.5015457777777778
selective-lag,memory-enabled,4,0.5059351111111111,0.5059351111111111
selective-lag,linear,5,0.9803653333333333,0.9803653333333333
selective-lag,static-univariate,5,0.5111608888888889,0.5111608888888889
selective-lag,memory-enabled,5,0.5000582222222222,0.5000582222222222
selective-lag,linear,6,0.9816897777777779,0.9816897777777779
selective-lag,static-univariate,6,0.48210400000000003,0.5178959999999999
selective-lag,memory-enabled,6,0.5217671111111111,0.5217671111111111
selective-lag,linear,7,0.9795826666666667,0.9795826666666667
selective-lag,static-univariate,7,0.5270911111111111,0.5270911111111111
selective-lag,memory-enabled,7,0.5093568888888889,0.5093568888888889
selective-lag,linear,8,0.9829093333333334,0.9829093333333334
selective-lag,static-univariate,8,0.5051924444444444,0.5051924444444444
selective-lag,memory-enabled,8,0.5042586666666666,0.5042586666666666
selective-lag,linear,9,0.9790875555555556,0.9790875555555556
selective-lag,static-univariate,9,0.5022679999999999,0.5022679999999999
selective-lag,memory-enabled,9,0.5041426666666666,0.5041426666666666
selective-lag,linear,10,0.9803333333333333,0.9803333333333333
selective-lag,static-univariate,10,0.5024982222222222,0.5024982222222222
selective-lag,memory-enabled,10,0.5174880000000001,0.5174880000000001
selective-lag,linear,11,0.977736,0.977736
selective-lag,static-univariate,11,0.5060448888888889,0.5060448888888889
selective-lag,memory-enabled,11,0.5049066666666666,0.5049066666666666
selective-lag,linear,12,0.9798653333333333,0.9798653333333333
selective-lag,static-univariate,12,0.5043022222222222,0.5043022222222222
selective-lag,memory-enabled,12,0.4962364444444445,0.5037635555555555
selective-lag,linear,13,0.9785604444444445,0.9785604444444445
selective-lag,static-univariate,13,0.5010537777777777,0.5010537777777777
selective-lag,memory-enabled,13,0.5122844444444444,0.5122844444444444
selective-lag,linear,14,0.9817577777777778,0.9817577777777778
selective-lag,static-univariate,14,0.4910591111111111,0.5089408888888889
selective-lag,memory-enabled,14,0.4929471111111111,0.5070528888888889
selective-lag,linear,15,0.9813684444444445,0.9813684444444445
selective-lag,static-univariate,15,0.4985133333333333,0.5014866666666666
selective-lag,memory-enabled,15,0.5064191111111112,0.5064191111111112
selective-lag,linear,16,0.9793151111111111,0.9793151111111111
selective-lag,static-univariate,16,0.5027906666666666,0.5027906666666666
selective-lag,memory-enabled,16,0.5070324444444444,0.5070324444444444
selective-lag,linear,17,0.984932888888889,0.984932888888889
selective-lag,static-univariate,17,0.49153111111111114,0.5084688888888889
selective-lag,memory-enabled,17,0.5190902222222222,0.5190902222222222
selective-lag,linear,18,0.982991111111111,0.982991111111111
selective-lag,static-univariate,18,0.5057311111111111,0.5057311111111111
selective-lag,memory-enabled,18,0.52038,0.52038
selective-lag,linear,19,0.9789577777777777,0.9789577777777777
selective-lag,static-univariate,19,0.5133191111111111,0.5133191111111111
selective-lag,memory-enabled,19,0.5170888888888889,0.5170888888888889
selective-lag,linear,20,0.9813711111111111,0.9813711111111111
selective-lag,static-univariate,20,0.4980124444444445,0.5019875555555555
selective-lag,memory-enabled,20,0.5281626666666668,0.5281626666666668
selective-lag,linear,21,0.9812217777777779,0.9812217777777779
selective-lag,static-univariate,21,0.48272577777777775,0.5172742222222222
selective-lag,memory-enabled,21,0.5099857777777778,0.5099857777777778
selective-lag,linear,22,0.9815493333333333,0.9815493333333333
selective-lag,static-univariate,22,0.501875111111111,0.501875111111111
selective-lag,memory-enabled,22,0.5078488888888889,0.5078488888888889
selective-lag,linear,23,0.9850622222222222,0.9850622222222222
selective-lag,static-univariate,23,0.51624,0.51624
selective-lag,memory-enabled,23,0.5125893333333333,0.5125893333333333
selective-lag,linear,24,0.9778253333333334,0.9778253333333334
selective-lag,static-univariate,24,0.4973528888888889,0.502647111111111
selective-lag,memory-enabled,24,0.49807777777777784,0.5019222222222222
selective-lag,linear,25,0.977407111111111,0.977407111111111
selective-lag,static-univariate,25,0.5217435555555556,0.5217435555555556
selective-lag,memory-enabled,25,0.5238808888888888,0.5238808888888888
selective-lag,linear,26,0.9811404444444445,0.9811404444444445
selective-lag,static-univariate,26,0.4918048888888889,0.5081951111111112
selective-lag,memory-enabled,26,0.5087235555555556,0.5087235555555556
selective-lag,linear,27,0.983332,0.983332
selective-lag,static-univariate,27,0.47759288888888884,0.5224071111111112
selective-lag,memory-enabled,27,0.5127973333333333,0.5127973333333333
selective-lag,linear,28,0.9816324444444444,0.9816324444444444
selective-lag,static-univariate,28,0.5248702222222222,0.5248702222222222
selective-lag,memory-enabled,28,0.5206240000000001,0.5206240000000001
selective-lag,linear,29,0.9772955555555557,0.9772955555555557
selective-lag,static-univariate,29,0.48253111111111113,0.5174688888888889
selective-lag,memory-enabled,29,0.533268,0.533268
