concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5387,20,0
0,3.71,262.8,257,325,325,325
2,4276,20,20,4.68,207.4,204,250,250,250
4,4634,40,40,8.63,208.4,221,278,280,280
8,4839,80,80,16.53,227.4,254,287,291,291
16,6113,160,160,26.17,262.8,221,367,380,381
