concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,7095,15,0,2.11,461.9,458,530,530,530
2,6188,30,0,4.85,400.2,361,764,810,810
4,5200,60,0,11.54,331.8,350,418,422,422
8,4639,120,0,25.87,276.9,221,421,433,464
16,5319,240,0,45.12,312.5,293,503,530,552
