idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,4,6,4,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
2,-,-,-,-,-,-,-,noleader
3,-,-,-,-,-,-,-,noleader
4,7,5,7,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
5,-,-,-,-,-,-,-,noleader
6,-,-,-,-,-,-,-,noleader
7,4,5,4,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
8,-,-,-,-,-,-,-,noleader
9,4,1,-,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
10,1,6,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
