rho,k,seed,emp_gap,th_gap,ratio
0.3,1,0,0.09670157504774424,1.0,0.09670157504774424
0.3,1,1,0.0949364933231196,1.0,0.0949364933231196
0.3,1,2,0.08570517823144486,1.0,0.08570517823144486
0.3,1,3,0.10693083001115045,1.0,0.10693083001115045
0.3,1,4,0.09051972212521231,1.0,0.09051972212521231
0.3,1,5,0.11340432821693525,1.0,0.11340432821693525
0.3,1,6,0.10040918495014162,1.0,0.10040918495014162
0.3,1,7,0.10643387076731814,1.0,0.10643387076731814
0.3,1,8,0.08339989981515905,1.0,0.08339989981515905
0.3,1,9,0.10514320811950895,1.0,0.10514320811950895
0.3,1,10,0.09378419490371026,1.0,0.09378419490371026
0.3,1,11,0.10681700452853526,1.0,0.10681700452853526
0.3,1,12,0.10147023934389965,1.0,0.10147023934389965
0.3,1,13,0.11067630339861534,1.0,0.11067630339861534
0.3,1,14,0.09259089758400951,1.0,0.09259089758400951
0.3,1,15,0.10402280451310786,1.0,0.10402280451310786
0.3,1,16,0.10075687464202265,1.0,0.10075687464202265
0.3,1,17,0.10080658149920252,1.0,0.10080658149920252
0.3,1,18,0.10452787627115079,1.0,0.10452787627115079
0.3,1,19,0.1015289973499367,1.0,0.1015289973499367
0.3,1,20,0.11107750096780711,1.0,0.11107750096780711
0.3,1,21,0.11122153028646153,1.0,0.11122153028646153
0.3,1,22,0.09138718402485257,1.0,0.09138718402485257
0.3,1,23,0.12447102029795909,1.0,0.12447102029795909
0.3,1,24,0.09456769877369597,1.0,0.09456769877369597
0.3,1,25,0.09401442658699533,1.0,0.09401442658699533
0.3,1,26,0.07974042099783407,1.0,0.07974042099783407
0.3,1,27,0.10651933940204061,1.0,0.10651933940204061
0.3,1,28,0.10815694926042108,1.0,0.10815694926042108
0.3,1,29,0.09178874827695216,1.0,0.09178874827695216
0.3,2,0,0.009654523580425733,1.0899999999999999,0.00885736108295939
0.3,2,1,0.008705696977415744,1.0899999999999999,0.007986877960931877
0.3,2,2,0.007382293294950326,1.0899999999999999,0.006772746142156264
0.3,2,3,0.008749091031268863,1.0899999999999999,0.00802668901951272
0.3,2,4,0.01284865498329446,1.0899999999999999,0.011787756865407764
0.3,2,5,0.00866029861383355,1.0899999999999999,0.007945228086085826
0.3,2,6,0.011708340197434497,1.0899999999999999,0.010741596511407797
0.3,2,7,0.011235312359130223,1.0899999999999999,0.010307626017550664
0.3,2,8,0.010771151598868434,1.0899999999999999,0.009881790457677463
0.3,2,9,0.009696212997078346,1.0899999999999999,0.008895608254200318
0.3,2,10,0.00889405482191985,1.0899999999999999,0.008159683322862248
0.3,2,11,0.011592900284935093,1.0899999999999999,0.010635688334802839
0.3,2,12,0.009245655033981448,1.0899999999999999,0.008482252324753622
0.3,2,13,0.009442974495974088,1.0899999999999999,0.008663279354104669
0.3,2,14,0.010769487482441109,1.0899999999999999,0.009880263745358817
0.3,2,15,0.011305084142723354,1.0899999999999999,0.010371636828186565
0.3,2,16,0.007919240527093363,1.0899999999999999,0.007265358281737031
0.3,2,17,0.0110378836797409,1.0899999999999999,0.010126498788753121
0.3,2,18,0.0088971185461717,1.0899999999999999,0.008162494079056608
0.3,2,19,0.007889114497329652,1.0899999999999999,0.007237719722320783
0.3,2,20,0.012174010831597304,1.0899999999999999,0.011168817276694776
0.3,2,21,0.008796368926811793,1.0899999999999999,0.00807006323560715
0.3,2,22,0.008581991795387323,1.0899999999999999,0.007873386968245251
0.3,2,23,0.01583693160562505,1.0899999999999999,0.014529295051032157
0.3,2,24,0.004283787414412155,1.0899999999999999,0.003930080196708399
0.3,2,25,0.013349469092904354,1.0899999999999999,0.0122472193512884
0.3,2,26,0.0076336166991979315,1.0899999999999999,0.007003318072658654
0.3,2,27,0.012335125693115456,1.0899999999999999,0.011316629076252714
0.3,2,28,0.01732820057878448,1.0899999999999999,0.01589743172365549
0.3,2,29,0.005559990200195264,1.0899999999999999,0.005100908440546115
