concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,3873,15,0,3.87,251.5,241,338,338,338
2,3272,17,13,5.20,214.6,218,256,256,256
4,2753,30,30,10.90,174.7,196,254,281,281
8,4106,60,60,14.61,260.9,260,320,329,329
16,4144,126,114,30.41,232.6,203,353,484,530
