arm,rate,seed,dur,elections,elec_with_fp,fp_node_wins,leader_changes,demotions,demote_TP,demote_FP,liveness_fail,mean_ttl_s,advice_seen,safety_viol
A,20,1,120,4,2,0,16,0,0,0,0,3.0,0,0
C,20,1,120,4,4,0,15,0,0,0,1,3.3,0,0
D,20,1,120,4,4,0,46,8,1,7,0,3.0,0,0
