concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5224,20,0
0,3.83,255.5,246,349,349,349
2,4394,20,20,4.55,212.8,209,280,280,280
4,4336,40,40,9.23,204.9,216,256,282,282
8,5517,80,80,14.50,263.4,262,282,292,292
16,5776,160,160,27.70,246.6,209,373,383,388
