concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,4186,2,13,0.48,316.0,333,333,333,333
2,3059,28,2,9.15,196.6,189,249,251,251
4,3030,30,30,9.90,163.7,180,297,298,298
8,3421,60,60,17.54,206.9,242,291,297,297
16,5454,120,120,22.00,335.5,336,365,374,380
