concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5346,20,0
0,3.74,260.6,257,320,320,320
2,4642,20,20,4.31,225.9,214,390,390,390
4,4697,40,40,8.52,225.3,227,275,279,279
8,5005,80,80,15.98,228.6,261,289,297,297
16,4929,160,160,32.46,218.9,208,322,346,354
