arm,rate,seed,dur,elections,elec_with_fp,fp_node_wins,leader_changes,demotions,demote_TP,demote_FP,liveness_fail,mean_ttl_s,advice_seen,safety_viol
A,20,1,300,10,8,0,39,0,0,0,0,4.0,0,0
C,20,1,300,10,10,0,50,0,0,0,0,4.0,10,0
D,20,1,300,10,3,0,91,19,1,18,0,4.0,0,0
A,20,2,300,10,10,1,35,0,0,0,0,3.8,0,0
C,20,2,300,10,7,0,46,0,0,0,0,4.0,7,0
D,20,2,300,10,2,0,102,20,0,20,0,3.7,0,0
A,20,3,300,10,7,0,38,0,0,0,0,4.0,0,0
C,20,3,300,10,9,0,45,0,0,0,0,3.6,9,0
D,20,3,300,10,3,0,98,22,5,17,0,3.3,0,0
