idx,leader_before,leader_after,target_won,live,ttl_s,advice_on_orderer
1,3,1,0,1,4,n1:{"blacklist":[];"seq":1;"fail_open":false}
2,1,3,1,1,4,n2:{"blacklist":[];"seq":1;"fail_open":false}
3,3,2,0,1,4,n1:{"blacklist":[];"seq":1;"fail_open":false}
4,2,4,0,1,4,n1:{"blacklist":[];"seq":1;"fail_open":false}
5,4,7,0,1,2,n1:{"blacklist":[];"seq":1;"fail_open":false}
