arm,N,m,chance_pct,seed,target_wins,elec,live,w0,wp,w1,w1_wins
A_vanilla,7,1,16.7,1,1,10,10,1,0,9,1
B_oracle,7,1,16.7,1,0,10,10,0,0,10,0
C_predictor,7,1,16.7,1,0,10,10,0,0,10,0
A_vanilla,7,1,16.7,2,0,10,10,0,0,10,0
B_oracle,7,1,16.7,2,0,10,10,0,0,10,0
C_predictor,7,1,16.7,2,0,10,10,0,0,10,0
A_vanilla,7,1,16.7,3,1,10,10,0,0,10,1
B_oracle,7,1,16.7,3,0,10,10,0,0,10,0
C_predictor,7,1,16.7,3,0,10,10,0,0,10,0
A_vanilla,7,1,16.7,4,1,10,10,0,0,10,1
B_oracle,7,1,16.7,4,0,10,10,0,0,10,0
C_predictor,7,1,16.7,4,0,10,10,0,0,10,0
