arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,7,3,1,3,2,9,1786329218.897855290,1786329232.348041544,W1,1,1,3,0,2,1,1,3,0,2,1,0,7,0,1
A_vanilla,7,3,1,3,2,10,1786329232.358676178,1786329245.780045934,W1,1,1,3,0,2,1,1,3,0,2,7,0,1,0,1
B_oracle,7,3,1,3,2,1,1786329250.888995622,1786329264.313536316,W1,1,1,3,0,2,1,1,3,0,2,1,0,5,0,1
B_oracle,7,3,1,3,2,2,1786329264.321665036,1786329277.768976572,W1,1,1,3,0,2,1,1,3,0,2,5,0,4,0,1
B_oracle,7,3,1,3,2,3,1786329277.775826488,1786329291.243014789,W1,1,1,3,0,2,1,1,3,0,2,4,0,5,0,1
B_oracle,7,3,1,3,2,4,1786329291.255369808,1786329304.728484893,W1,1,1,3,0,2,1,1,3,0,2,5,0,1,0,1
B_oracle,7,3,1,3,2,5,1786329304.742490128,1786329318.172745676,W1,1,1,3,0,2,1,1,3,0,2,1,0,2,0,1
B_oracle,7,3,1,3,2,6,1786329318.186594514,1786329331.639936644,W1,1,1,3,0,2,1,1,3,0,2,2,0,5,0,1
B_oracle,7,3,1,3,2,7,1786329331.647027578,1786329345.087184599,W1,1,1,3,0,2,1,1,3,0,2,5,0,4,0,1
B_oracle,7,3,1,3,2,8,1786329345.092435309,1786329358.549180123,W1,1,1,3,0,2,1,1,3,0,2,4,0,7,0,1
B_oracle,7,3,1,3,2,9,1786329358.553181809,1786329371.963167514,W1,1,1,3,0,2,1,1,3,0,2,7,0,6,0,1
B_oracle,7,3,1,3,2,10,1786329371.991262463,1786329385.414446065,W1,1,1,3,0,2,1,1,3,0,2,6,0,4,0,1
C_predictor,7,3,1,3,2,1,1786329390.444458571,1786329403.969586709,W1,1,1,3,0,2,1,1,3,0,2,4,0,7,0,1
C_predictor,7,3,1,3,2,2,1786329403.981611729,1786329417.503406542,W1,1,1,3,0,2,1,1,3,0,2,7,0,5,0,1
C_predictor,7,3,1,3,2,3,1786329417.511371341,1786329431.014590960,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
C_predictor,7,3,1,3,2,4,1786329431.026154024,1786329444.525294827,W1,1,1,3,0,2,1,1,3,0,2,6,0,7,0,1
C_predictor,7,3,1,3,2,5,1786329444.537645024,1786329458.049050092,W1,1,1,3,0,2,1,1,3,0,2,7,0,4,0,1
C_predictor,7,3,1,3,2,6,1786329458.060779140,1786329471.535627588,W1,1,1,3,0,2,1,1,3,0,2,4,0,6,0,1
C_predictor,7,3,1,3,2,7,1786329471.549163519,1786329485.043094156,W1,1,1,3,0,2,1,1,3,0,2,6,0,5,0,1
C_predictor,7,3,1,3,2,8,1786329485.046958934,1786329498.483801574,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
C_predictor,7,3,1,3,2,9,1786329498.496550971,1786329511.997247122,W1,1,1,3,0,2,1,1,3,0,2,6,0,2,0,1
C_predictor,7,3,1,3,2,10,1786329512.001022393,1786329525.504972209,W1,1,1,3,0,2,1,1,3,0,2,2,0,1,0,1
A_vanilla,7,3,1,3,3,1,1786329531.609662670,1786329545.092606552,W1,1,1,3,0,2,1,1,3,0,2,1,0,6,0,1
A_vanilla,7,3,1,3,3,2,1786329545.097814787,1786329558.513823956,W1,1,1,3,0,2,1,1,3,0,2,6,0,7,0,1
A_vanilla,7,3,1,3,3,3,1786329558.529768288,1786329571.961339724,W1,1,1,3,0,2,1,1,3,0,2,7,0,3,1,1
A_vanilla,7,3,1,3,3,4,1786329571.973871264,1786329585.382591092,W1,1,1,3,0,2,1,1,3,0,2,3,1,5,0,1
A_vanilla,7,3,1,3,3,5,1786329585.393358800,1786329598.843382197,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
