concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6144,15,0,2.44,399.2,398,444,444,444
2,4547,15,15,3.30,294.7,292,331,331,331
4,4693,30,30,6.39,300.3,299,326,333,333
8,5360,60,60,11.19,337.0,341,367,373,373
16,4598,120,120,26.10,268.3,257,355,373,478
