arm,N,m,chance_pct,seed,target_wins,elec,live,w0,wp,w1,w1_wins
A_vanilla,15,2,14.3,1,1,10,10,0,1,9,1
B_oracle,15,2,14.3,1,0,10,10,0,0,10,0
C_predictor,15,2,14.3,1,0,10,10,0,0,10,0
A_vanilla,15,2,14.3,2,2,10,10,0,0,10,2
B_oracle,15,2,14.3,2,0,10,9,0,0,10,0
C_predictor,15,2,14.3,2,0,10,10,0,0,10,0
A_vanilla,15,2,14.3,3,1,10,10,0,0,10,1
B_oracle,15,2,14.3,3,0,10,10,1,0,9,0
C_predictor,15,2,14.3,3,0,10,10,0,0,10,0
A_vanilla,15,2,14.3,4,0,10,10,0,0,10,0
B_oracle,15,2,14.3,4,0,10,10,0,0,10,0
C_predictor,15,2,14.3,4,0,10,10,0,0,10,0
