arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,15,7,2,3;11,2,6,1786335681.413649205,1786335695.426943674,W1,2,2,11;3,0,6,2,2,11;3,0,6,6,0,15,0,1
A_vanilla,15,7,2,3;11,2,7,1786335695.439924794,1786335709.269616825,W1,2,2,3;11,0,6,2,2,3;11,0,6,15,0,8,0,1
A_vanilla,15,7,2,3;11,2,8,1786335709.283920106,1786335723.198156968,W1,2,2,3;11,0,6,2,2,3;11,0,6,8,0,5,0,1
A_vanilla,15,7,2,3;11,2,9,1786335723.206793923,1786335737.048455229,W1,2,2,11;3,0,6,2,2,3;11,0,6,5,0,13,0,1
A_vanilla,15,7,2,3;11,2,10,1786335737.060432664,1786335750.956151785,W1,2,2,11;3,0,6,2,2,3;11,0,6,13,0,3,1,1
B_oracle,15,7,2,3;11,2,1,1786335764.336250549,1786335778.382313591,W1,2,2,11;3,0,6,2,2,3;11,0,6,3,1,5,0,1
B_oracle,15,7,2,3;11,2,2,1786335778.394894906,1786335792.521045266,W1,2,2,11;3,0,6,2,2,3;11,0,6,5,0,13,0,1
B_oracle,15,7,2,3;11,2,3,1786335792.526488316,1786335806.399961281,W1,2,2,11;3,0,6,2,2,3;11,0,6,13,0,6,0,1
B_oracle,15,7,2,3;11,2,4,1786335806.405958805,1786335820.410261253,W1,2,2,3;11,0,6,2,2,3;11,0,6,6,0,12,0,1
B_oracle,15,7,2,3;11,2,5,1786335820.418300564,1786335834.444588177,W1,2,2,3;11,0,6,2,2,11;3,0,6,12,0,6,0,1
B_oracle,15,7,2,3;11,2,6,1786335834.455816378,1786335848.425677659,W1,2,2,3;11,0,6,2,2,3;11,0,6,6,0,1,0,1
B_oracle,15,7,2,3;11,2,7,1786335848.446873826,1786335862.394300794,W1,2,2,3;11,0,6,2,2,3;11,0,6,1,0,2,0,1
B_oracle,15,7,2,3;11,2,8,1786335862.410112190,1786335876.358884111,W1,2,2,3;11,0,6,2,2,11;3,0,6,2,0,0,0,0
B_oracle,15,7,2,3;11,2,9,1786335876.377069512,1786335890.326408350,W1,2,2,3;11,0,6,2,2,3;11,0,6,13,0,9,0,1
B_oracle,15,7,2,3;11,2,10,1786335890.331191499,1786335904.326711073,W1,2,2,3;11,0,6,2,2,3;11,0,6,9,0,1,0,1
C_predictor,15,7,2,3;11,2,1,1786335917.761579347,1786335931.793869695,W1,2,2,3;11,0,6,2,2,11;3,0,6,1,0,9,0,1
C_predictor,15,7,2,3;11,2,2,1786335931.800463627,1786335945.823914820,W1,2,2,11;3,0,6,2,2,11;3,0,6,9,0,1,0,1
C_predictor,15,7,2,3;11,2,3,1786335945.829974523,1786335959.815132216,W1,2,2,3;11,0,6,2,2,11;3,0,6,1,0,13,0,1
C_predictor,15,7,2,3;11,2,4,1786335959.821132211,1786335973.837356344,W1,2,2,11;3,0,6,2,2,11;3,0,6,13,0,12,0,1
C_predictor,15,7,2,3;11,2,5,1786335973.845445647,1786335987.817045635,W1,2,2,11;3,0,6,2,2,3;11,0,6,12,0,15,0,1
C_predictor,15,7,2,3;11,2,6,1786335987.825456006,1786336001.836211707,W1,2,2,3;11,0,6,2,2,11;3,0,6,15,0,1,0,1
C_predictor,15,7,2,3;11,2,7,1786336001.841486493,1786336015.873064452,W1,2,2,11;3,0,6,2,2,11;3,0,6,1,0,13,0,1
C_predictor,15,7,2,3;11,2,8,1786336015.885793272,1786336029.947144482,W1,2,2,3;11,0,6,2,2,11;3,0,6,13,0,2,0,1
C_predictor,15,7,2,3;11,2,9,1786336029.953099102,1786336044.047898115,W1,2,2,11;3,0,6,2,2,3;11,0,6,2,0,1,0,1
C_predictor,15,7,2,3;11,2,10,1786336044.056201534,1786336058.225634296,W1,2,2,3;11,0,6,2,2,3;11,0,6,1,0,2,0,1
A_vanilla,15,7,2,3;11,3,1,1786336076.817471006,1786336090.736447662,W1,2,2,3;11,0,6,2,2,3;11,0,6,2,0,7,0,1
A_vanilla,15,7,2,3;11,3,2,1786336090.743722023,1786336104.656697468,W1,2,2,3;11,0,6,2,2,3;11,0,6,7,0,3,1,1
A_vanilla,15,7,2,3;11,3,3,1786336104.669577487,1786336118.540923995,W1,2,2,11;3,0,6,2,2,3;11,0,6,3,1,6,0,1
A_vanilla,15,7,2,3;11,3,4,1786336118.549652946,1786336132.504224754,W1,2,2,11;3,0,6,2,2,3;11,0,6,6,0,5,0,1
A_vanilla,15,7,2,3;11,3,5,1786336132.515797876,1786336146.436112572,W1,2,2,11;3,0,6,2,2,3;11,0,6,5,0,2,0,1
A_vanilla,15,7,2,3;11,3,6,1786336146.441038465,1786336160.449346297,W1,2,2,11;3,0,6,2,2,11;3,0,6,2,0,7,0,1
A_vanilla,15,7,2,3;11,3,7,1786336160.456928315,1786336174.451979436,W1,2,2,11;3,0,6,2,2,11;3,0,6,7,0,10,0,1
A_vanilla,15,7,2,3;11,3,8,1786336174.466695474,1786336188.427227779,W1,2,2,11;3,0,6,2,2,3;11,0,6,10,0,7,0,1
A_vanilla,15,7,2,3;11,3,9,1786336188.436748856,1786336202.361899026,W1,2,2,3;11,0,6,2,2,11;3,0,6,7,0,6,0,1
A_vanilla,15,7,2,3;11,3,10,1786336202.374110722,1786336216.356249346,W1,2,2,3;11,0,6,2,2,3;11,0,6,6,0,8,0,1
B_oracle,15,7,2,3;11,3,1,1786336232.385487202,1786336246.283008431,W1,2,2,3;11,0,6,2,2,11;3,0,6,8,0,10,0,1
B_oracle,15,7,2,3;11,3,2,1786336246.296090408,1786336260.308245708,W1,2,2,11;3,0,6,2,2,11;3,0,6,10,0,14,0,1
B_oracle,15,7,2,3;11,3,3,1786336260.324800383,1786336274.252116209,W0,0,0,,NA,NA,2,2,11;3,0,6,14,0,6,0,1
B_oracle,15,7,2,3;11,3,4,1786336274.266112440,1786336288.221723205,W1,2,2,11;3,0,6,2,2,3;11,0,6,6,0,14,0,1
B_oracle,15,7,2,3;11,3,5,1786336288.231593578,1786336302.163663596,W1,2,2,11;3,0,6,2,2,11;3,0,6,14,0,10,0,1
B_oracle,15,7,2,3;11,3,6,1786336302.171395767,1786336316.191254359,W1,2,2,11;3,0,6,2,2,3;11,0,6,10,0,12,0,1
