4,1,1781077159193,1781077159677,484,OK
4,2,1781077159695,1781077159990,295,OK
4,3,1781077160003,1781077160287,284,OK
4,4,1781077160316,1781077160557,241,OK
4,5,1781077160568,1781077160831,263,OK
4,6,1781077160844,1781077161143,299,OK
4,7,1781077161171,1781077161406,235,OK
4,8,1781077161425,1781077161711,286,OK
4,9,1781077161725,1781077161957,232,OK
4,10,1781077161976,1781077162289,313,OK
4,11,1781077162300,1781077162559,259,OK
4,12,1781077162576,1781077162910,334,OK
4,13,1781077162926,1781077163223,297,OK
4,14,1781077163237,1781077163516,279,OK
4,15,1781077163530,1781077163793,263,OK
