arm,seed,elections,target_reacquired,seat_attempts,demotions,leaderless_s,target_tenure_s,liveness_fail,repaired,safety_viol
A,4,5,1,2,0,10,16,0,0,0
C,4,5,0,12,0,12,8,0,0,0
A,5,5,1,3,0,10,18,0,0,0
C,5,5,0,25,0,12,8,0,0,0
A,6,5,0,8,0,12,10,0,0,0
C,6,5,0,10,0,14,12,0,0,0
A,7,5,1,6,0,10,18,0,0,0
C,7,5,0,12,0,10,8,0,0,0
A,8,5,0,16,0,12,8,0,0,0
C,8,5,0,2,0,12,8,0,0,0
