concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5914,15,0,2.54,385.7,376,526,526,526
2,4865,30,0,6.17,313.6,306,387,388,388
4,4478,60,0,13.40,268.1,284,475,490,490
8,5265,120,0,22.79,333.3,331,365,367,369
16,5076,240,0,47.28,299.8,280,417,447,468
